City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Bossangoa,CF,76.46,scattered clouds,6.4926,17.4552,LA PERLE DE BOSTON
240,Gwadar,PK,81.05,few clouds,25.1216,62.3254,Sadaf Resort
242,Katobu,ID,80.71,broken clouds,-4.9408,122.5276,La Ode Husein
243,Russell,US,69.4,light rain,32.3502,-85.1999,Macs
245,Mansa,IN,77.94,few clouds,29.9833,75.3833,STARiHOTEL Mansa
246,Rodrigues Alves,BR,73.72,scattered clouds,-7.738,-72.6509,Pousada Aconchego
248,Jalu,LY,71.94,broken clouds,29.0331,21.5482,صاحبة الفخامة
250,Si Racha,TH,88.03,broken clouds,13.1737,100.9311,Cape Racha Hotel & Serviced Apartments
251,Abu Road,IN,74.97,clear sky,24.4833,72.7833,Private Room In the Heart of the city.
255,Meru,KE,62.78,overcast clouds,0.0463,37.6559,Meru Paramount Hotel
257,Hithadhoo,MV,83.21,overcast clouds,-0.6,73.0833,Scoop Guest House
258,Lucea,JM,69.66,light rain,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
259,Victoria,HK,72.18,overcast clouds,22.2855,114.1577,Mini Hotel Central
260,Cuajinicuilapa,MX,85.93,few clouds,16.4667,-98.4167,Pozo S. XVI
261,Bay Saint Louis,US,82.47,clear sky,30.3088,-89.33,The Abode Guest House
262,Lar,IN,81.88,few clouds,26.2039,83.9717,Ovaiskarni ward Lar
266,Antalaha,MG,72.54,clear sky,-14.9003,50.2788,Hotel Vitasoa
267,Khorramshahr,IR,73.36,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
270,Port-Gentil,GA,81.01,light rain,-0.7193,8.7815,Fengshui Residence
271,Kavieng,PG,83.79,light rain,-2.5744,150.7967,Nusa Island Retreat
272,Doha,QA,80.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
273,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
275,Carballo,ES,56.55,broken clouds,43.213,-8.691,Pazo do Souto
280,Chuy,UY,59.61,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
282,Faanui,PF,81.37,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
283,Port Keats,AU,84.09,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
286,Touros,BR,79.21,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
288,Stawell,AU,70.61,broken clouds,-37.05,142.7667,Motel Stawell
289,Mount Isa,AU,85.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
290,La Roda,ES,60.91,clear sky,39.2167,-2.15,Hotel-Restaurante El Sueño de Jemik
293,Boysun,UZ,61.09,overcast clouds,38.2061,67.1986,Gaza Hotel
295,Namatanai,PG,83.48,light rain,-3.6667,152.4333,Seagulls Inn Namatani
296,Yanam,IN,77.99,scattered clouds,16.7333,82.2167,The Regency Hotel
299,Benguela,AO,77.14,light rain,-12.5763,13.4055,Hotel Praia Morena
300,Santo Amaro Da Imperatriz,BR,66.09,clear sky,-27.6881,-48.7786,BBS Comércio de Produtos Agropecuários.
302,Murliganj,IN,76.96,scattered clouds,25.9,86.9833,Hotel Vijay palace
303,Flagstaff,US,67.51,clear sky,35.1981,-111.6513,Drury Inn & Suites Flagstaff
304,Ponta Do Sol,PT,72.23,overcast clouds,32.6667,-17.1,Hotel do Campo
309,Mackay,AU,81.68,few clouds,-21.15,149.2,International Lodge Motel
311,Tabou,CI,78.24,moderate rain,4.423,-7.3528,hotêl doufoulougou
314,Pignon,HT,68.56,overcast clouds,19.3333,-72.1167,Le Manoir de Pignon
316,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
320,Sirjan,IR,60.8,scattered clouds,29.452,55.6814,MAPNA Building
324,Moron,AR,65.97,broken clouds,-34.6534,-58.6198,Hotel Morón
326,Celestun,MX,80.53,clear sky,20.8667,-90.4,Posada Lilia
327,Tatawin,TN,55.81,scattered clouds,32.9297,10.4518,Sangho Privilege Tataouine
328,Ladario,BR,73.42,few clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
329,Cuamba,MZ,66.47,clear sky,-14.8031,36.5372,Hotel Vision
331,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
339,Mar Del Plata,AR,64.09,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
341,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
343,Barranca,PE,66.11,overcast clouds,-10.75,-77.7667,El Olivar Hospedaje
344,Gizo,SB,81.57,moderate rain,-8.103,156.8419,Imagination Island
345,Tura,IN,70.25,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
348,Iracoubo,GF,77.94,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
354,Sola,VU,88.47,few clouds,-13.8833,167.55,Leumerus Bungalows
355,San Quintin,MX,63.52,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
356,Sinnamary,GF,77.94,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
357,Isangel,VU,86.11,scattered clouds,-19.55,169.2667,Tanna Lodge
360,Naze,JP,65.32,overcast clouds,28.3667,129.4833,Shishime Hotel
362,Cedar City,US,59.97,overcast clouds,37.6775,-113.0619,Hampton Inn Cedar City
363,San Patricio,US,84.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
365,Carcassonne,FR,64.22,clear sky,43.25,2.1667,Domaine les Magasins
370,Basoko,CD,71.2,overcast clouds,1.2391,23.616,Jackyna Hotel
373,Inirida,CO,72.84,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
374,Denpasar,ID,82.06,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
375,Puerto Castilla,HN,84.15,few clouds,16.0167,-85.9667,Jito Beach
378,Xambioa,BR,74.21,scattered clouds,-6.4111,-48.5364,Pousada Do Sol
380,Jhang,PK,73.62,overcast clouds,33.6748,72.6963,Bismallah sentory store
382,Zhuhai,CN,69.51,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
383,Charters Towers,AU,78.94,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
384,Kununurra,AU,85.98,scattered clouds,-15.7667,128.7333,Hotel Kununurra
385,Sambava,MG,72.99,clear sky,-14.2667,50.1667,Melrose
387,Barcelona,ES,64.54,clear sky,41.3888,2.159,Axel Hotel Barcelona
389,Nishihara,JP,67.28,overcast clouds,26.1842,127.7558,Minshuku Agaihama
392,Bonthe,SL,77.79,few clouds,7.5264,-12.505,Bonthe Holiday Village
395,Rafaela,AR,62.01,scattered clouds,-31.2503,-61.4867,Parra Hotel & Suites
396,Papara,BR,81.0,scattered clouds,-3.9839,-38.7273,Bela vista Maranguape
397,Kaeo,NZ,68.32,light rain,-35.1,173.7833,Bushido Lodge
398,Arlit,NE,74.97,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
399,Kijang,KR,58.73,clear sky,35.2442,129.2139,Samyang Beach Villa
400,Pachmarhi,IN,73.94,clear sky,22.4667,78.4333,TBT Budget Stays
401,Itaguai,BR,72.68,scattered clouds,-22.8522,-43.7753,It Grande Hotel Itaguai
402,Lawrenceburg,US,63.18,clear sky,38.0373,-84.8966,Best Western Lawrenceburg Inn
403,Machico,PT,72.23,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
406,Hamilton,US,56.73,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
407,Kisangani,CD,68.97,overcast clouds,0.5167,25.2,Grand Ramela Hotel
409,Laguna,US,71.11,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
411,Waspan,NI,77.59,broken clouds,14.7419,-83.9717,Hostal casa de la rose
412,Mahalapye,BW,62.02,overcast clouds,-23.1041,26.8142,Keeme-Nao Hotel
414,Vadgaon,IN,81.82,clear sky,20.9402,74.8712,Nishant Suresh Patil
415,Conceicao Do Araguaia,BR,73.22,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
417,Arona,ES,70.02,clear sky,28.0996,-16.681,Paradise Court
421,Nakhon Nayok,TH,85.33,few clouds,14.1667,101.1,ห้างหุ้นส่วนจำกัด เอสพีรีสอร์ท
422,Alofi,NU,87.69,scattered clouds,-19.0595,-169.9187,Taloa Heights
423,Cabra,ES,61.54,clear sky,37.4725,-4.4421,MS Fuente Las Piedras
427,Puerto Penasco,MX,71.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
429,Ilhabela,BR,67.39,few clouds,-23.7781,-45.3581,Ilha Flat Hotel
431,Reconquista,AR,59.02,scattered clouds,-29.15,-59.65,Grand Hotel
433,Erzin,TR,58.53,clear sky,36.9559,36.2,Artemis Otel
435,Lagoa,PT,58.5,clear sky,39.05,-27.9833,Casa Das Faias
436,Coquimbo,CL,57.27,broken clouds,-29.9533,-71.3436,Hotel San Juan
437,Buchanan,LR,78.22,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
438,Mount Gambier,AU,73.31,broken clouds,-37.8333,140.7667,The Commodore
440,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
441,Kilindoni,TZ,81.36,light rain,-7.9139,39.6668,Bustani B&B
443,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
444,Atambua,ID,81.46,broken clouds,-9.1061,124.8925,Kost Alfa Flat
445,Ishigaki,JP,71.73,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
447,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
448,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
449,Kutum,SD,72.52,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
450,Kieta,PG,82.54,light rain,-6.2167,155.6333,Uruna Bay Retreat
451,Waipawa,NZ,56.28,few clouds,-41.4122,175.5153,Tora Coastal Walk
452,Itarema,BR,77.74,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
454,Camacha,PT,60.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
455,Mouzouras,GR,59.0,broken clouds,35.5333,24.15,Areti Suites
456,Adelanto,US,67.08,clear sky,34.5828,-117.4092,Days Inn Adelanto-Victorville
457,Puri,IN,75.72,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
459,Hargeysa,SO,72.16,few clouds,9.56,44.065,City Center Hotel
461,Tucuman,AR,64.4,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
462,Crestview,US,74.91,moderate rain,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
464,Santiago Del Estero,AR,63.41,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
465,San Rafael Del Sur,NI,86.97,clear sky,11.8485,-86.4384,Hospedaje El Chino
466,Cortes,ES,59.05,clear sky,41.9395,-1.4396,Rincon de bu
467,Kralendijk,BQ,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
469,Karratha,AU,89.55,few clouds,-20.7377,116.8463,ibis Styles Karratha
471,Burnie,AU,65.14,overcast clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
472,Dayong,CN,64.83,broken clouds,25.0209,118.2898,Haiyue Express Hotel
473,Macheng,CN,59.76,overcast clouds,31.1783,115.0319,Shell Macheng City Macheng Bus Station Hotel
476,Yushan,CN,60.98,overcast clouds,31.3776,120.9543,裕元花园酒店
477,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
479,Bandraboua,YT,82.08,clear sky,-12.7044,45.1223,HASSANI Mikidachi
480,Diebougou,BF,79.38,overcast clouds,10.9667,-3.25,Hotel Le Consulat
481,Dingle,PH,82.98,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
482,Jega,NG,86.38,scattered clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
483,Sayyan,YE,59.41,clear sky,15.1718,44.3244,ملاطف ابوحورية
485,Hasaki,JP,57.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
487,Pochutla,MX,86.83,clear sky,15.7432,-96.4661,Hotel Posada San Jose
490,Alice Springs,AU,83.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
495,Santa Adelia,BR,58.77,clear sky,-21.2428,-48.8042,Marri Hotel
496,Waingapu,ID,84.47,light rain,-9.6567,120.2641,Pondok Wisata Elim
498,Dolores,AR,55.44,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
499,Abu Dhabi,AE,84.31,clear sky,24.4667,54.3667,Beach Rotana
500,Montepuez,MZ,67.42,scattered clouds,-13.1256,38.9997,PembaAparthotel
502,Ojinaga,MX,87.57,clear sky,29.5667,-104.4167,Suites Las Palmas
504,Praia Da Vitoria,PT,59.25,scattered clouds,38.7333,-27.0667,Hotel Branco I
505,Soe,ID,77.9,broken clouds,-9.8607,124.284,Dena Hotel
506,Ixtapa,MX,78.22,scattered clouds,20.7,-105.2,hotel la terminal
507,Changtu,CN,57.13,overcast clouds,42.7788,124.0955,Ming Yang Inn
508,Emerald,AU,77.34,clear sky,-23.5333,148.1667,The Irish Village
509,Male,MV,84.15,few clouds,4.1748,73.5089,Hotel Octave Maldives
511,Namibe,AO,72.3,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
512,Galesong,ID,75.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
514,Praya,CV,69.8,scattered clouds,14.9215,-23.5087,LT Aparthotel
515,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
516,Ternate,ID,83.32,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
521,Ruteng,ID,72.82,scattered clouds,-8.6136,120.4721,Hotel FX 72
522,Lumphat,KH,79.36,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
525,Half Moon Bay,US,65.53,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
526,Gambela,ET,74.41,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
527,Port Lincoln,AU,66.11,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
530,Sabha,LY,67.08,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
531,Dunedin,NZ,55.8,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
532,Presidencia Roque Saenz Pena,AR,59.94,broken clouds,-26.7852,-60.4388,Hotel Gualok
533,Bandarbeyla,SO,80.71,scattered clouds,9.4942,50.8122,JABIR HOTEL
534,Vila Velha,BR,75.15,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
537,Kamakwie,SL,77.4,few clouds,9.5,-12.2333,White House Hotel
539,Guerrero Negro,MX,62.58,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
540,Riyadh,SA,71.74,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
541,Arrifes,PT,59.25,few clouds,37.7667,-25.7,Hotel Ponta Delgada
542,Chicama,PE,63.14,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
543,Huarmey,PE,67.71,overcast clouds,-10.0681,-78.1522,Hotel Miramar
544,Marsa Matruh,EG,73.6,clear sky,31.3525,27.2453,Beau Site
